대여소_ID,위도,경도,동
ST-684,37.51395,126.942978,노량진동
ST-683,37.512844,126.952469,본동
ST-682,37.506977,126.885773,신도림동
ST-681,37.497551,126.847252,오류동
ST-680,37.495029,126.843613,오류동
ST-68,37.51902,126.93689,여의도동
ST-679,37.486061,126.852013,개봉동
ST-678,37.501705,126.847282,개봉동
ST-677,37.497684,126.853729,개봉동
ST-676,37.503815,126.851959,고척동
ST-675,37.49947,126.868401,고척동
ST-674,37.478741,126.895096,가리봉동
ST-673,37.504379,126.888298,구로동
ST-672,37.4991,126.89135,구로동
ST-671,37.494141,126.889984,구로동
ST-670,37.491032,126.892151,구로동
ST-67,37.522675,126.93779,여의도동
ST-669,37.4888,126.890663,구로동
ST-668,37.48494,126.901321,구로동
ST-667,37.497505,126.884377,구로동
ST-666,37.495285,126.872162,구로동
ST-665,37.489632,126.876259,구로동
ST-664,37.50972,126.890099,신도림동
ST-663,37.51424,126.882874,신도림동
ST-662,37.507332,126.87973,신도림동
ST-661,37.467403,126.908142,독산동
ST-660,37.456726,126.893066,독산동
ST-66,37.522079,126.930367,여의도동
ST-659,37.647991,127.034111,쌍문동
ST-658,37.65683,127.039848,창동
ST-657,37.68972,127.045197,도봉동
ST-656,37.647381,127.034218,창동
ST-655,37.593288,127.036667,종암동
ST-654,37.643085,127.016167,수유동
ST-653,37.640095,127.016708,수유동
ST-652,37.639793,127.016853,수유동
ST-651,37.645451,127.015617,수유동
ST-650,37.639862,127.022789,수유동
ST-65,37.523491,126.932899,여의도동
ST-649,37.644577,127.01593,수유동
ST-648,37.618286,127.024048,미아동
ST-647,37.62714,127.026695,미아동
ST-646,37.638805,127.028358,번동
ST-645,37.640327,127.013359,수유동
ST-644,37.624157,127.018623,미아동
ST-643,37.639263,127.026726,수유동
ST-642,37.456478,126.895927,시흥동
ST-641,37.47707,126.88443,가산동
ST-640,37.479084,126.879044,가산동
ST-64,37.524837,126.934906,여의도동
ST-639,37.466541,126.890282,독산동
ST-638,37.4725,126.897957,독산동
ST-637,37.47023,126.895073,독산동
ST-636,37.469139,126.897202,독산동
ST-635,37.475319,126.898888,독산동
ST-634,37.456841,126.888344,독산동
ST-633,37.4547,126.891052,독산동
ST-632,37.46455,126.883728,독산동
ST-631,37.458912,126.89859,시흥동
ST-630,37.452991,126.900909,시흥동
ST-63,37.519363,126.926048,여의도동
ST-629,37.451458,126.902115,시흥동
ST-628,37.44334,126.903358,시흥동
ST-627,37.453121,126.904312,시흥동
ST-626,37.446861,126.903831,시흥동
ST-625,37.47422,126.894127,가산동
ST-624,37.479031,126.887299,가산동
ST-623,37.470779,126.885155,가산동
ST-622,37.473209,126.884941,가산동
ST-621,37.486214,126.878639,가산동
ST-620,37.482288,126.877769,가산동
ST-62,37.520695,126.925835,여의도동
ST-619,37.46653,126.888718,가산동
ST-618,37.483757,126.982399,방배동
ST-617,37.654049,127.050201,창동
ST-616,37.650127,127.035347,쌍문동
ST-615,37.654461,127.038513,창동
ST-614,37.669224,127.046516,방학동
ST-613,37.645821,127.050423,창동
ST-612,37.680313,127.055069,상계동
ST-611,37.654701,127.0634,상계동
ST-610,37.649212,127.061768,상계동
ST-61,37.523277,126.929237,여의도동
ST-609,37.67271,127.08316,상계동
ST-608,37.668461,127.077148,상계동
ST-607,37.638649,127.066292,중계동
ST-606,37.637569,127.063156,하계동
ST-605,37.635109,127.068329,하계동
ST-604,37.629574,127.07679,공릉동
ST-603,37.620369,127.083641,공릉동
ST-602,37.619171,127.074928,공릉동
ST-600,37.615181,127.064644,월계동
ST-60,37.523022,126.920837,여의도동
ST-6,37.550739,126.915085,서교동
ST-599,37.595299,127.080032,중화동
ST-598,37.484215,126.996292,방배동
ST-597,37.599285,127.034622,종암동
ST-596,37.616169,127.093483,신내동
