상호명,주소,신주소,경도,위도
서울시립미술관 (서소문본관),100-813 서울 중구 서소문동 37 ,"04515 서울 중구 덕수궁길 61 (서소문동, 서울시립미술관) ",,
서울약령시 한의약박물관, 서울 동대문구 제기동 1082 ,"02570 서울 동대문구 약령중앙로 26 (제기동, 서울한방진흥센터) B2",127.037626748997,37.5806561732457
시민청 관광안내소,100-744 서울 중구 태평로1가 31 ,04524 중구 세종대로 110(신청사 지하 1층 시민청 내 인포데스크) ,,
서울역사박물관,110-062 서울 종로구 신문로2가 2-1 ,"03177 서울 종로구 새문안로 55 (신문로2가, 서울역사박물관) ",,
서울중앙성원,140-895 서울 용산구 이태원동 15-34 ,04405 서울 용산구 우사단로10길 39 ,,
서울중앙우체국,100-709 서울 중구 충무로1가 21-1 ,"04535 서울 중구 소공로 70 (충무로1가, 서울중앙우체국청사) ",,
서울하수도과학관, 서울 성동구 용답동 247-6 ,04809 서울 성동구 자동차시장3길 64 (용답동) 서울하수도과학관,127.062901609139,37.5598579192324
서정 아트 서울, 서울 강남구 논현동 270-38 ,06103 서울 강남구 봉은사로47길 12 (논현동) ,127.041233182875,37.5105408411336
서초 여행자 지원센터,137-856 서울 서초구 서초동 1318-8 ,06615 서울특별시 서초구 서초동 1318-7 ,,
서촌한옥마을, 서울 종로구 누하동 15 ,03037 서울 종로구 필운대로 45 (누하동) ,126.968506563595,37.5801985521618
석굴암, 서울 종로구 옥인동 183-1 ,03034 서울 종로구 옥인동 산3-14 ,126.964414395153,37.582445548817
석파정, 서울 종로구 부암동 201 ,03021 서울 종로구 창의문로11길 4-1 ,126.962347109454,37.5950207806517
선정릉(선릉),135-090 서울시 강남구 삼성동 135-4 ,06153 서울특별시 강남구 선릉로100길 1 (삼성동) ,,
설화철물, 서울 동작구 사당동 318-13 ,07011 서울 동작구 사당로16길 7 (사당동) ,126.97398682893,37.4829219329296
용산역관광정보센터,140-780 서울 용산구 한강로3가 40-999 ,"04377 서울 용산구 한강대로23길 55 (한강로3가, 용산역) ",,
성곡미술관,110-062 서울 종로구 신문로2가 1-101 ,"03175 서울 종로구 경희궁길 42 (신문로2가, 성곡미술관) ",,
성균관 명륜당,110-812 서울 종로구 명륜동3가 53,110-812 서울특별시 종로구 성균관로 25-1 ,,
성균관대학교,110-745 서울 종로구 명륜3가 53-21 ,"03063 서울 종로구 성균관로 25-2 (명륜3가, 성균관대학교) ",,
성수구름다리, 서울 성동구 성수동1가 642-25 ,04770 서울 성동구 강변북로 257  ,127.041790310245,37.5388792394955
성신여대 복식박물관 및 자연사박물관, 서울 강북구 미아동 147 ,"01133 서울 강북구 도봉로76가길 55 (미아동, 성신여자대학교운정그린캠퍼스) 운정그린캠퍼스 B1",127.027267821575,37.6319502096419
성우이용원,  ,04183 서울 마포구 효창원로97길 4-1 ,,
성원전주콩나물국밥, 서울 중구 명동2가 4-1 ,04537 서울 중구 명동10길 19-10 (명동2가) ,126.985979003679,37.5630267002209
세검정,110-010 서울 종로구 신영동 168-6,03018 서울특별시 종로구 세검정로 244 (세검정) ,,
세븐웰제화,  ,04509 서울 중구 칠패로 6 ,,
세빛섬, 서울 서초구 반포동 650 ,06500 서울 서초구 올림픽대로 2085-14 (반포동) ,126.993422447909,37.5119839656501
세운상가,110-430 서울 종로구 장사동 116-4 ,"03194 서울 종로구 청계천로 159 (장사동, 세운상가) ",,
세운청계상가, 서울 중구 산림동 207-1 ,"04545 서울 중구 청계천로 160 (산림동, 세운청계상가) ",126.995368505665,37.5680488733938
셋이서문학관,  ,03308 서울시 은평구 진관길 23 셋이서문학관,,
한국가구박물관,136-823 서울 성북구 성북동 330-577 330-577,"02822 서울 성북구 대사관로 121 (성북동, 한국가구박물관) ",,
소극장 산울림,  ,04052 서울 마포구 와우산로 157 ,,
소덕문 터(옛 서소문),100-814 서울 중구 서소문동 58-25 ,04513 서울 중구 서소문로 100 (중앙일보 구관) ,,
손가네닭한마리, 서울 종로구 숭인동 201-13 ,"03115 서울 종로구 종로66가길 10 (숭인동, 유림빌딩) ",127.021381625564,37.5736970792637
손기정기념관,100-372 서울 중구 만리동2가 6-1 6-1,04501 서울 중구 손기정로 101 (손기정 체육공원) ,,
손기정문화도서관, 서울 중구 만리동2가 6-1 ,04501 서울 중구 손기정로 101 (손기정공원) ,126.964583684813,37.555597735109
송림수제화,  ,04543 서울특별시 중구 수표로 60-1 (을지로3가 5-10)3~4층 ,,
영등포관광정보센터,150-798 서울 영등포구 영등포동4가 442 ,"07305 서울 영등포구 영중로 15 (영등포동4가, 타임스퀘어) ",,
송월동 일대,110-101 서울 종로구 송월동 일대,110-101 서울특별시 종로구 송월동 일대 ,,
송은(SONGEUN), 서울 강남구 청담동 92-9 ,06016 서울 강남구 도산대로 441 (청담동) ,127.044044403045,37.5241758821417
송파관광정보센터,138-240 서울 송파구 신천동 32 ,"05617 서울 송파구 잠실로 180 (신천동, 송파관광정보센터) ",,
쇳대박물관, 서울 종로구 이화동 9-444 187-8,03088 서울 종로구 낙산성곽서1길 24 (이화동) ,,
수유어묵공장,  ,01117 서울 강북구 도봉로67길 18 ,,
순희네 반찬,  ,03195 서울 종로구 창경궁로 88 1층 광장시장 65-1 ,,
순라길,110-380 서울시 종로구 권농동 113 일대  원남동 151-6번지에서 인의동 90-5번지,03134 서울시 종로구 서순라길 161 (권농동) 일대 ,,
숭례문(남대문),100-094 서울 중구 남대문로4가 29 ,04528 서울 중구 세종대로 40 (숭례문(남대문)) ,,
쉼박물관,110-020 서울 종로구 홍지동 36-20 ,03015 서울 종로구 세검정로 209-17 (쉼박물관) ,,
스페이스 씨,135-120 서울 강남구 신사동 627-8 스페이스씨,"135-120 서울특별시 강남구 언주로 827, 스페이스씨 (신사동) ",,
용산공원갤러리, 서울 용산구 한강로1가 1-1 ,04322 서울 용산구 한강대로 237 ,126.972463802885,37.5388010721099
승진완구	,  ,03120 서울 종로구 종로52길 30 ,,
한국금융사박물관, 서울 중구 태평로1가 62-12 ,"04519 서울 중구 세종대로 135-5 (태평로1가, 조흥금융박물관) 3, 4층 ",126.976425244241,37.5685888296486
신당창작아케이드,100-868 서울 중구 황학동 119 신당지하쇼핑센터,04571 서울 중구 마장로 87 (황학동) 신당지하쇼핑센터,,
신락원, 서울 동대문구 전농동 60-32 ,02506 서울 동대문구 전농로20길 2 (전농동) ,127.057181887976,37.5788851655596
신아기념관, 서울 중구 정동 1-28 ,"04518 서울 중구 정동길 33 (정동, 신아일보) ",126.972163155646,37.5662190936015
신안촌,110-053 서울특별시 종로구 내자동 152,03169 서울특별시 종로구 사직로12길 8 (내자동) ,,
신촌역사 관광안내소,120-140 서울 서대문구 신촌동 74-12 ,"03765 서울 서대문구 신촌역로 30 (신촌동, 신촌민자역사) 신촌역사 내",,
신흥상회,  ,07299 서울 영등포구 도림로126길 1 (문래동3가) ,,
함스브로트과자점, 서울 도봉구 쌍문동 88-106 ,01443 서울 도봉구 도봉로 483 (쌍문동) ,127.03453639828,37.6489473625103
쌍마스튜디오, 서울 영등포구 여의도동 24-5 ,"07327 서울 영등포구 여의나루로 81 (여의도동, 한마루빌딩) ",126.927770089385,37.5243238280008
아다모스튜디오,  ,04776 서울 성동구 둘레15길 16 202호 주차장옆 외부계단 ,,
아라리오갤러리 서울,110-200 서울특별시 종로구 소격동 76 ,03053 서울특별시 종로구 북촌로5길 84 (소격동) ,,
아라리오뮤지엄 인 스페이스,110-280 서울 종로구 원서동 219 ,03058 서울 종로구 율곡로 83 (원서동) ,,
