대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-2640,서울특별시 금천구 독산동 996-3 신축건물 앞,,37.479435,126.902275,금천구,,
ST-264,서울특별시 동대문구 전농로3길 23,답십리초등학교 옆 공원,37.569656,127.055962,동대문구,,
ST-2639,서울특별시 금천구 시흥동 1000-48 알레르망 가게 앞,,37.454151,126.900452,금천구,535.0,26.75
ST-2638,서울특별시 금천구 시흥동 113-77 자전거도로 시작점 뒤,,37.457397,126.893417,금천구,263.0,13.15
ST-2637,서울특별시 금천구 범안로 1126(안양천 연결 엘리베이터),,37.465576,126.887245,금천구,549.0,27.45
ST-2636,서울특별시 중랑구 망우로 400 해븐타워,,37.598827,127.096634,중랑구,,
ST-2635,서울특별시 중랑구 묵동 170-45,,37.613216,127.077347,중랑구,,
ST-2634,서울특별시 중랑구 면목동 1085-1,,37.580322,127.094154,중랑구,,
ST-2633,서울특별시 중랑구 신내로 126 동성아파트,,37.610226,127.096283,중랑구,,
ST-2632,서울특별시 중랑구 봉화산로 190,,37.606411,127.094048,중랑구,,
ST-2631,서울특별시 중랑구 망우로232,,37.594326,127.078461,중랑구,,
ST-2630,서울특별시 중랑구 망우로 290,,37.595963,127.084778,중랑구,,
ST-263,서울특별시 동대문구 답십리로 210-3,동대문구 체육관,37.572655,127.063637,동대문구,,
ST-2629,서울특별시 중랑구 동일로114길 2,,37.592857,127.080605,중랑구,,
ST-2628,서울특별시 중랑구 신내동278-50,,37.615711,127.101044,중랑구,,
ST-2627,서울특별시 강서구 하늘길 112,,37.556885,126.809265,강서구,396.0,19.8
ST-2626,서울특별시 중구 광희동 1가 202-5,,37.564308,127.006477,중구,799.0,36.31818181818182
ST-2625,서울특별시 중구 퇴계로 235 남산 센트럴 자이,,37.562527,126.998314,중구,1039.0,47.22727272727273
ST-2624,서울특별시 중구 중림로 10 중림동 삼성 사이버 빌리지,,37.558914,126.964859,중구,302.0,13.727272727272727
ST-2623,서울특별시 종로구 돈화문로11가길 59,,37.575283,126.990623,종로구,,
ST-2622,서울특별시 종로구 평창동 290-15,,37.604698,126.964516,종로구,,
ST-2621,서울특별시 송파구 방이동 88-18,,37.512756,127.126297,송파구,279.0,19.928571428571427
ST-2620,서울특별시 송파구 성내천로35길 53,,37.500034,127.159248,송파구,,
ST-262,서울특별시 동대문구 장한로 25길 2,장안동 사거리,37.572174,127.071388,동대문구,2366.0,147.875
ST-2619,서울특별시 송파구 거여동 657-12,,37.486877,127.152695,송파구,182.0,13.0
ST-2618,서울특별시 관악구 남부순환로 1880 SK주유소,,37.478882,126.95842,관악구,149.0,7.842105263157895
ST-2617,서울특별시 관악구 남부순환로1653,,37.484974,126.934372,관악구,348.0,18.31578947368421
ST-2616,서울특별시 관악구 낙성대로101 맞은편,,37.46896,126.957657,관악구,150.0,7.894736842105263
