대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-1984,서울특별시 영등포구 신길로 39-3 가로판매대84,,37.496365,126.908249,영등포구,,
ST-1983,서울특별시 영등포구 신풍로 77 래미안에스티움,,37.500256,126.912155,영등포구,4266.0,164.07692307692307
ST-1982,서울특별시 영등포구 가마산로 442 래미안프레비뉴,,37.504383,126.908089,영등포구,1500.0,57.69230769230769
ST-1981,서울특별시 영등포구 신길로 119 신길뉴타운 한화 꿈에그린,,37.503136,126.91008,영등포구,,
ST-1980,서울특별시 영등포구 양평동 1-1,,37.541851,126.893806,영등포구,,
ST-198,서울특별시 중구 다산로 258 리마크빌 동대문,,37.565918,127.016426,중구,9992.0,384.3076923076923
ST-1979,서울특별시 영등포구 양평동2가 33-80,,37.525555,126.885872,영등포구,,
ST-1978,서울특별시 영등포구 선유로 87,,37.521828,126.889725,영등포구,2400.0,92.3076923076923
ST-1977,서울특별시 영등포구 문래동3가 55-13,,37.517071,126.899086,영등포구,2752.0,144.8421052631579
ST-1976,서울특별시 영등포구 문래로4길 6 현대아파트,,37.520218,126.882164,영등포구,5720.0,220.0
ST-1975,서울특별시 영등포구 도림동 187-87,,37.511242,126.898186,영등포구,2406.0,92.53846153846153
ST-1974,서울특별시 영등포구 도신로15길 5 영등포 다목적 배드민턴 체육관,,37.506115,126.89859,영등포구,2848.0,109.53846153846153
ST-1973,서울특별시 영등포구 당산동4가 10-21,,37.52869,126.903862,영등포구,6828.0,262.61538461538464
ST-1972,서울특별시 영등포구 당산동4가 80-2,,37.530735,126.89917,영등포구,3930.0,151.15384615384616
ST-1971,서울특별시 영등포구 여의서로 60-2 가로판매대22,,37.531792,126.922455,영등포구,1654.0,87.05263157894737
ST-1970,서울특별시 영등포구 여의도동 1-1,,37.527508,126.914299,영등포구,3550.0,136.53846153846155
ST-197,서울특별시 중구 신당동 357-1,약수역 10번출구 앞,37.555199,127.010048,중구,1084.0,41.69230769230769
ST-1969,서울특별시 영등포구 여의도동 8-1,,37.528637,126.912674,영등포구,358.0,22.375
ST-1968,서울특별시 영등포구 영등포동8가 29-1,,37.526302,126.90538,영등포구,5626.0,216.3846153846154
ST-1967,서울특별시 영등포구 신길로 275 영등포문화원,,37.514812,126.911705,영등포구,864.0,33.23076923076923
ST-1966,서울특별시 구로구 가마산로 141,,37.488647,126.88047,구로구,898.0,35.92
ST-1965,서울특별시 구로구 구로동 467-62,,37.495453,126.880394,구로구,792.0,31.68
ST-1964,서울특별시 구로구 경인로 673-1 가로판매대,,37.510063,126.889565,구로구,8060.0,322.4
ST-1963,서울특별시 구로구 구로동 635-32,,37.499813,126.874313,구로구,2096.0,83.84
ST-1962,서울특별시 구로구 고척동 60-42,,37.50452,126.870552,구로구,1006.0,40.24
ST-1961,서울특별시 구로구 중앙로6길 5-15 청구아파트,,37.50119,126.863533,구로구,3124.0,124.96
ST-1960,서울특별시 구로구 개봉로19길 87 로얄파크,,37.493965,126.853043,구로구,1630.0,65.2
ST-196,서울특별시 중구 장충동2가 200-99,장충체육관,37.558533,127.006989,중구,302.0,13.727272727272727
ST-1959,서울특별시 구로구 오리로 1100 천왕연지타워,,37.483665,126.841614,구로구,2408.0,96.32
ST-1958,서울특별시 구로구 천왕로 56 천왕 이펜하우스 3단지,,37.482239,126.838531,구로구,810.0,32.4
ST-1957,서울특별시 구로구 천왕동 277-4,,37.479897,126.84037,구로구,866.0,34.64
ST-1956,서울특별시 구로구 항동 220,,37.474731,126.817009,구로구,236.0,9.44
ST-1955,서울특별시 구로구 부광로 96-16 항동 제일풍경채 포레스트,,37.476036,126.816589,구로구,1078.0,43.12
ST-1954,서울특별시 구로구 항동 135-53,,37.479343,126.825638,구로구,610.0,24.4
ST-1953,서울특별시 구로구 항동 135-33,,37.47937,126.82547,구로구,202.0,8.416666666666666
ST-1952,서울특별시 구로구 항동 120-7,,37.479832,126.822754,구로구,1076.0,43.04
ST-1951,서울특별시 구로구 항동 115-2,,37.480095,126.822487,구로구,,
ST-1950,서울특별시 구로구 항동 169-1,,37.47794,126.823273,구로구,318.0,12.72
ST-195,서울특별시 중구 동호로 330,CJ제일제당 앞,37.563866,127.002747,중구,3060.0,117.6923076923077
ST-1949,서울특별시 구로구 항동 169-1,,37.477905,126.823112,구로구,362.0,14.48
ST-1948,서울 구로구 항동 100-5,,37.480808,126.821907,구로구,548.0,21.92
ST-1947,서울특별시 구로구 항동 100-14,,37.480629,126.821815,구로구,508.0,20.32
